accident_count,accident_severity,rainfall_mm,visibility_km,road_condition,traffic_density,hour_of_day,is_weekend,is_high_speed,risk_score
17,3,6.6,4.4,2,2,18,0,1,88.5
11,3,7.8,6.35,3,1,5,0,0,67.0
9,2,7.9,9.15,2,4,12,0,0,65.4
10,3,11.8,7.25,3,1,17,0,1,64.0
18,1,11.8,11.76,4,3,14,1,0,66.7
13,3,10.3,1.88,1,4,22,0,0,98.0
15,1,2.2,2.02,3,3,6,1,1,78.8
17,1,10.3,8.72,3,4,18,0,1,74.5
10,1,2.8,6.03,2,3,16,0,0,54.4
9,1,2.0,5.49,3,1,8,0,0,30.1
11,1,40.5,0.93,2,1,10,1,0,87.1
7,1,13.9,8.08,3,2,4,0,0,58.2
19,1,16.2,7.79,3,1,1,1,1,84.1
12,1,7.7,10.61,4,3,14,0,0,51.8
21,2,36.0,8.28,4,2,23,0,0,98.0
12,1,15.2,7.47,3,3,11,0,0,56.6
10,1,22.0,12.71,1,2,9,1,1,66.0
13,2,6.9,2.75,5,2,9,1,0,62.6
4,3,48.3,10.15,3,4,19,0,0,80.0
18,2,25.8,1.32,1,1,10,1,1,98.0
8,1,28.9,4.65,4,3,9,0,0,57.5
14,2,2.8,3.15,2,3,6,1,0,77.1
9,1,4.7,11.13,3,1,13,1,0,36.4
11,1,5.0,7.74,3,2,12,1,0,49.7
13,1,4.7,7.95,3,2,4,1,0,71.6
10,2,29.0,3.57,4,3,18,0,0,67.6
14,1,0.5,6.8,3,2,9,0,0,50.5
12,1,1.2,4.95,1,2,7,0,0,60.6
13,1,4.8,9.53,5,3,17,0,0,48.1
14,3,3.3,4.04,5,1,0,0,0,77.2
19,2,4.0,13.32,3,3,4,0,0,88.1
10,1,24.0,1.3,3,3,10,0,0,67.5
9,2,12.4,4.77,1,3,19,0,1,75.8
16,2,0.1,14.71,4,3,10,0,0,63.6
12,2,8.4,6.26,1,2,15,0,0,72.3
17,1,7.9,2.74,1,4,9,1,1,90.3
10,3,1.8,8.88,3,2,14,0,0,67.2
13,1,16.9,6.1,2,2,6,1,1,64.9
13,2,18.2,4.66,1,1,14,0,1,75.6
7,1,19.1,3.62,3,4,15,0,1,64.1
12,1,19.6,15.0,2,3,5,0,1,73.1
14,1,0.0,6.99,2,3,10,0,0,55.4
14,2,46.2,0.3,1,1,16,0,1,98.0
10,1,25.2,13.97,2,3,14,0,0,60.5
14,2,35.1,10.44,4,3,15,0,0,74.4
6,1,0.2,4.93,4,3,23,0,1,49.9
9,2,40.7,4.27,3,2,1,1,0,88.9
17,2,24.9,10.69,3,2,3,0,1,94.3
15,2,27.2,7.01,1,1,18,0,0,80.2
13,2,1.5,0.3,1,2,5,0,0,90.0
8,2,20.1,15.0,2,1,17,0,0,59.8
10,1,48.3,6.26,3,2,20,1,1,84.1
13,2,17.0,13.98,4,1,10,0,0,59.2
18,1,12.7,13.11,3,1,8,0,0,61.5
10,2,43.7,4.0,3,1,2,0,0,87.4
16,2,8.8,12.13,2,4,1,0,1,95.1
8,1,13.7,5.39,4,2,17,0,0,40.0
13,1,9.7,0.53,3,2,14,1,1,77.9
8,1,40.5,6.3,4,2,21,0,0,72.6
14,2,1.2,9.59,3,2,17,0,0,62.5
10,3,10.4,6.15,4,4,18,0,0,68.8
12,2,17.4,6.77,5,1,14,0,1,53.5
15,2,23.5,12.57,5,2,16,0,0,59.8
14,3,13.1,8.43,3,4,17,0,0,82.0
17,1,35.9,4.63,3,2,17,0,1,85.6
11,1,42.7,10.81,2,1,10,0,0,65.0
13,2,1.0,8.79,5,1,17,0,1,54.1
12,2,7.7,0.2,3,1,22,0,0,94.0
10,3,0.4,9.71,2,4,2,0,0,89.1
2,1,6.0,9.57,3,2,12,0,0,30.1
16,1,11.5,8.08,2,4,13,0,0,71.3
7,1,36.3,11.57,3,4,3,0,1,78.5
15,1,28.1,5.31,3,2,17,1,1,71.2
13,1,2.0,9.35,3,1,4,1,0,59.0
12,2,1.5,1.73,1,1,13,1,1,83.9
12,1,13.3,9.63,5,2,11,1,0,40.7
15,2,11.4,15.0,4,2,6,1,0,63.2
11,1,4.6,4.02,4,2,11,1,1,53.4
11,2,34.5,4.96,3,2,7,1,1,75.0
8,1,39.3,5.16,4,4,20,1,0,76.5
12,1,7.7,8.52,3,2,20,0,1,68.7
14,1,33.2,3.75,2,3,2,0,0,98.0
13,3,7.3,9.68,2,3,21,1,1,98.0
11,2,20.0,11.39,3,1,0,0,1,78.2
10,1,9.7,10.14,2,1,2,1,0,65.0
4,1,2.0,0.93,5,1,10,0,0,39.1
16,3,39.5,11.98,1,1,17,0,1,97.1
12,1,9.1,11.75,3,2,6,1,1,59.0
12,1,19.9,11.32,3,2,8,1,0,59.2
8,2,6.9,9.49,3,2,3,0,0,69.7
11,3,0.3,8.88,3,4,22,1,1,84.4
13,1,1.6,12.13,2,1,23,1,0,63.7
11,1,10.3,15.0,4,2,9,0,0,46.6
12,3,17.6,4.19,3,1,17,0,0,74.6
14,1,6.1,12.31,3,2,22,0,0,69.3
6,1,17.8,7.66,4,2,15,0,1,41.8
19,2,18.0,7.48,4,4,11,0,1,86.6
11,3,18.3,1.85,4,2,18,0,0,82.9
11,1,10.2,6.86,3,1,23,0,1,66.0
19,3,37.0,4.01,3,2,21,1,1,98.0
8,2,10.1,6.14,3,1,2,0,0,59.7
7,1,9.0,3.61,4,1,7,0,0,46.9
6,3,3.3,6.2,4,2,18,0,1,58.8
16,1,5.5,6.38,2,1,8,1,0,57.1
16,1,0.6,8.39,3,2,18,1,0,54.4
7,2,15.1,1.54,4,2,16,0,0,74.0
13,1,4.3,2.22,3,2,12,1,1,69.9
10,1,5.4,9.45,3,1,1,1,0,55.5
11,1,22.1,4.81,3,4,3,1,1,80.4
16,1,5.9,12.3,3,2,10,1,0,56.2
12,2,4.2,8.9,5,3,1,0,1,65.6
10,2,2.8,10.43,3,2,3,0,0,69.1
11,3,22.4,13.64,2,2,3,0,0,95.3
17,1,2.1,6.76,2,2,19,0,0,66.0
20,1,9.1,5.7,1,2,0,0,0,86.1
13,1,10.6,11.49,3,1,10,1,1,46.6
10,1,17.4,10.04,3,2,22,0,1,71.5
14,1,15.0,7.25,2,3,1,1,0,84.6
6,2,25.0,13.57,3,3,18,0,1,59.4
5,3,0.7,7.15,4,1,7,0,0,42.0
11,3,5.3,8.13,2,2,22,0,0,84.4
10,1,4.9,8.08,3,3,19,0,0,46.8
8,3,2.4,4.26,5,3,3,1,0,64.6
13,1,5.1,8.31,3,1,15,1,1,49.6
6,1,5.6,13.59,4,3,14,0,0,36.3
14,3,11.1,9.78,3,2,4,1,0,80.1
11,2,16.3,8.12,4,2,4,1,0,74.4
11,1,7.2,7.35,4,2,14,0,0,49.5
15,1,19.1,9.32,3,3,22,0,0,79.2
11,1,6.1,11.0,4,4,16,0,0,54.1
7,2,5.1,10.44,5,4,2,0,0,56.7
5,1,11.7,6.67,3,1,17,1,1,40.3
7,3,0.4,9.3,2,4,10,0,0,65.7
15,1,1.2,9.92,3,1,5,0,0,50.5
21,1,8.1,3.97,4,2,11,0,0,58.2
10,1,42.9,8.67,3,2,21,1,1,80.8
6,2,19.2,0.2,2,2,16,1,0,84.1
13,1,1.4,9.93,1,2,13,0,1,64.4
11,2,28.1,10.64,3,2,5,0,1,74.2
4,3,19.8,10.99,2,4,9,0,1,74.0
11,3,14.2,6.42,3,1,15,1,0,54.8
9,2,25.7,9.24,4,2,17,0,0,61.1
12,3,7.8,13.7,3,4,19,1,0,78.3
13,2,3.8,13.66,1,1,5,1,1,74.6
14,2,10.8,7.88,2,2,18,0,1,73.8
10,1,11.9,8.56,2,3,2,0,1,77.8
14,1,11.6,12.44,2,2,11,0,1,73.6
13,1,12.5,2.0,3,3,15,0,0,67.1
18,1,44.6,6.71,3,1,2,0,0,89.5
4,1,34.9,13.34,2,3,15,0,0,61.2
11,3,31.3,11.9,1,1,3,0,0,96.1
13,1,24.2,9.48,2,2,19,0,1,69.5
16,1,43.1,1.98,5,1,12,1,1,75.6
11,2,1.6,7.8,3,2,3,0,0,73.6
16,1,4.6,5.64,4,3,3,0,1,78.6
11,1,10.2,9.32,4,4,6,1,1,62.9
20,1,28.1,4.76,3,3,20,0,0,93.3
9,1,10.6,3.9,4,2,11,1,0,46.3
13,1,20.7,0.2,2,4,1,1,1,98.0
7,2,2.2,12.89,3,2,15,0,0,53.6
12,2,4.4,6.4,2,2,6,0,0,61.2
12,1,19.7,8.63,4,2,18,0,0,56.7
12,1,2.7,7.99,1,2,10,0,1,61.8
17,1,6.5,3.73,4,3,0,0,0,75.9
7,2,4.6,2.96,1,1,8,1,1,61.6
15,1,6.5,3.98,4,2,4,0,1,77.0
14,1,18.5,5.11,3,3,16,0,1,70.7
7,2,6.9,9.47,3,4,0,1,0,67.7
10,1,12.2,4.82,3,3,16,1,1,64.1
11,1,1.6,14.99,3,2,11,0,0,41.2
17,1,24.5,12.11,3,2,12,0,0,69.6
12,3,6.9,11.23,5,2,23,0,1,79.9
11,3,15.7,7.52,1,2,10,1,0,82.1
12,2,19.4,14.06,5,4,12,0,1,61.4
12,1,3.5,7.13,3,4,12,1,0,60.4
13,2,32.4,7.87,4,3,5,0,0,71.0
6,3,14.4,8.68,3,1,21,1,1,73.6
7,3,8.4,10.81,3,3,5,0,1,70.8
8,1,3.0,10.55,4,4,19,1,0,48.1
17,2,42.8,6.1,3,2,20,1,1,95.9
14,1,21.1,5.87,3,2,9,0,1,60.7
8,1,3.5,10.56,1,3,18,1,0,58.7
8,2,6.2,10.86,2,2,2,1,1,76.3
8,1,24.9,6.43,3,4,6,1,0,59.7
7,3,17.8,1.65,4,2,4,0,0,85.9
9,1,21.8,7.17,3,3,7,0,0,57.0
12,2,8.7,10.49,2,3,4,1,0,86.3
13,3,18.9,15.0,3,2,11,1,0,82.5
5,3,7.3,3.21,3,3,3,0,1,85.5
15,1,3.6,6.29,3,2,18,1,1,62.2
8,1,15.0,6.44,4,2,17,0,0,48.7
11,2,56.0,13.42,4,1,2,1,1,84.4
13,1,5.6,7.86,1,2,6,0,0,66.7
12,3,9.3,4.37,4,3,7,0,1,76.6
12,3,16.8,10.23,3,4,14,0,0,79.9
7,1,11.7,6.38,4,2,20,0,1,56.0
12,1,27.8,3.1,2,2,16,0,1,77.3
9,1,21.5,4.43,3,1,18,0,1,52.6
9,3,0.9,14.94,2,3,3,0,1,83.3
13,1,96.8,9.54,3,4,15,0,0,94.5
15,1,20.9,8.43,1,2,12,1,1,79.8
6,1,29.9,7.0,2,2,11,0,0,50.6
13,2,15.8,9.17,1,2,3,0,0,85.1
11,1,29.1,9.12,2,1,11,0,1,64.8
10,1,1.8,9.17,2,3,16,1,1,53.9
13,3,6.4,8.46,3,2,8,1,0,69.6
13,3,31.4,11.48,1,3,11,0,0,92.1
7,2,3.4,8.09,3,3,14,1,0,46.4
9,1,1.2,4.09,2,3,19,1,0,57.0
8,1,23.3,5.55,5,3,1,0,0,57.4
6,2,27.1,0.2,5,4,8,1,0,83.6
7,1,2.7,15.0,2,4,13,0,0,51.1
16,3,28.9,11.45,3,2,3,0,1,98.0
8,2,17.4,4.68,1,1,3,0,1,81.7
18,1,11.0,6.87,5,2,5,0,0,58.2
13,3,26.6,5.45,3,3,23,0,1,98.0
15,3,8.2,14.17,1,1,4,0,1,98.0
10,1,3.2,2.32,3,1,23,0,0,66.3
12,2,5.0,8.46,1,1,16,0,0,63.0
7,1,10.6,7.57,3,3,12,0,0,46.5
10,1,11.4,11.31,3,2,19,0,0,48.1
8,1,24.6,7.58,3,2,16,0,0,50.1
12,2,23.5,0.97,3,1,18,1,0,79.0
10,3,13.1,7.0,2,3,22,0,0,92.3
10,2,22.8,4.11,2,2,0,0,1,93.2
9,1,3.2,8.32,2,2,20,0,0,61.7
15,2,0.8,13.74,4,3,16,0,1,70.3
12,1,31.0,1.04,2,2,21,0,0,98.0
19,3,1.2,4.8,3,2,2,0,1,93.3
13,1,4.2,5.79,3,2,13,1,0,49.6
8,1,17.8,6.47,2,2,11,0,1,62.6
8,1,7.9,10.96,3,3,14,0,1,51.2
8,2,31.4,7.31,3,1,5,0,1,61.1
14,1,5.3,9.66,3,1,19,1,1,56.6
10,2,0.2,5.5,3,3,21,1,0,69.1
11,1,5.4,8.92,3,3,1,0,1,72.7
11,1,12.9,11.11,3,1,3,0,0,61.0
12,1,7.1,5.07,3,1,12,1,0,43.5
15,3,11.5,11.13,3,3,12,0,0,76.2
11,3,31.4,8.21,1,3,22,0,0,97.5
17,1,36.5,12.18,3,2,21,0,1,87.7
13,1,4.6,7.19,1,3,22,0,1,85.2
13,1,9.3,9.52,2,1,16,1,0,57.8
8,2,11.9,7.84,3,2,5,1,1,56.6
9,1,44.7,7.62,4,1,10,1,0,48.5
10,3,98.8,9.04,4,2,18,0,0,96.0
7,3,4.0,10.15,1,1,15,0,0,66.0
15,1,19.5,3.0,3,2,7,0,1,78.8
9,1,7.1,13.73,3,2,0,1,0,53.8
14,3,0.1,0.56,2,2,9,1,0,96.3
14,2,0.1,5.26,4,1,1,0,0,66.7
9,1,9.3,7.62,4,2,18,0,0,44.5
13,1,10.1,9.65,5,3,13,0,1,54.0
8,1,0.3,14.3,1,2,2,1,0,60.4
12,1,17.4,0.57,2,3,22,0,0,98.0
18,1,5.2,5.97,4,2,23,0,0,73.9
14,1,12.3,0.2,3,2,8,0,0,81.6
13,2,5.4,8.13,4,2,22,0,0,64.7
11,1,2.7,9.09,1,4,7,1,0,69.5
11,1,7.8,14.36,3,1,10,1,1,53.9
17,1,4.0,8.48,3,1,14,1,0,59.7
13,2,11.5,12.18,1,2,5,1,0,75.5
5,3,3.3,10.34,3,4,1,0,0,71.7
15,1,10.7,6.26,3,4,0,0,0,80.4
10,1,2.6,2.36,2,2,2,0,0,78.4
12,3,16.7,9.1,2,2,22,1,0,85.4
10,1,21.0,2.03,3,2,17,0,0,63.7
15,1,1.8,13.18,3,2,13,0,1,60.9
9,1,9.5,7.35,4,2,16,0,0,44.3
8,1,1.1,12.78,3,3,1,0,1,71.7
12,1,13.7,6.08,2,3,18,1,0,60.8
18,3,4.6,9.08,5,2,21,1,0,76.1
13,2,11.2,8.84,5,2,8,0,1,57.9
8,1,10.9,7.82,1,2,7,0,0,56.8
12,3,38.7,6.27,4,2,9,1,0,75.8
9,1,11.9,9.57,2,2,8,1,1,56.9
9,1,13.1,4.3,1,1,7,0,1,58.9
13,2,7.7,3.16,2,1,6,0,1,79.7
15,2,44.7,12.97,2,2,21,0,1,98.0
12,1,22.5,10.91,4,3,23,0,1,72.9
11,1,5.0,8.26,4,2,5,1,0,41.2
8,2,27.9,14.66,5,2,1,0,0,63.6
11,2,8.5,6.93,4,2,8,0,0,46.6
13,2,26.5,13.29,3,1,8,0,0,62.6
14,1,26.0,8.7,3,4,18,0,0,64.2
9,1,3.1,3.9,5,3,8,0,1,51.9
15,1,18.1,15.0,4,1,1,0,0,69.7
14,1,5.2,11.96,4,3,18,0,1,56.5
7,3,5.3,7.52,5,2,15,0,0,49.2
16,1,5.3,10.91,2,4,21,0,0,86.9
14,1,19.4,6.39,4,2,13,0,0,57.7
10,2,3.9,11.32,4,1,19,0,0,52.3
9,1,0.0,0.2,5,2,23,0,0,71.6
8,1,18.8,3.92,2,3,0,0,1,86.4
11,2,2.8,11.92,3,1,12,0,0,51.4
16,3,1.7,7.0,3,3,21,1,0,89.6
9,2,4.1,8.83,2,1,1,1,1,73.9
13,1,7.2,2.61,3,4,21,0,0,88.0
13,2,9.7,15.0,2,1,13,1,0,60.1
12,2,0.7,12.76,3,4,0,0,0,75.0
15,1,52.9,7.2,3,2,14,0,0,76.6
17,1,18.9,6.38,3,2,17,0,1,63.0
11,3,5.9,12.12,3,4,8,0,1,76.9
9,1,5.8,15.0,3,4,21,0,1,67.9
13,2,8.9,11.82,2,3,7,0,0,67.9
8,1,14.8,15.0,2,1,6,1,1,49.3
7,1,2.4,4.31,1,2,8,0,0,54.3
9,1,3.1,4.72,2,2,8,0,0,50.6
9,2,29.4,3.24,3,2,10,0,0,72.4
17,1,4.4,9.77,4,2,3,0,1,71.3
13,2,7.2,8.7,2,1,6,1,1,69.8
11,2,30.8,7.39,2,3,20,1,1,98.0
12,2,16.3,11.24,4,3,6,1,1,67.1
8,3,6.3,12.93,3,1,3,0,0,74.5
6,2,17.3,1.9,5,2,11,0,0,58.4
9,1,0.3,5.61,4,2,16,0,1,43.1
10,3,20.0,11.28,3,3,19,0,1,76.5
14,2,10.0,6.13,2,1,2,0,1,81.8
13,1,25.2,4.81,3,2,8,1,0,59.0
15,1,46.4,12.07,1,2,4,0,1,98.0
13,2,39.0,2.84,2,2,19,0,0,91.6
12,1,36.0,6.79,2,3,15,1,1,73.1
10,2,10.8,9.31,4,3,7,1,0,58.3
7,1,6.7,5.7,3,1,20,0,1,62.4
14,1,9.4,11.13,1,2,15,0,0,61.6
14,2,17.6,5.72,3,4,18,0,1,77.6
9,1,32.3,13.63,3,1,15,0,0,52.3
15,1,3.5,7.5,3,3,17,0,0,62.9
9,2,37.6,10.69,2,3,14,0,0,74.1
10,1,25.3,10.98,3,3,23,0,1,84.3
18,2,57.8,5.49,5,2,17,0,0,79.7
20,2,31.8,0.2,1,2,13,1,0,98.0
8,2,4.9,9.44,2,4,23,1,1,76.2
15,1,1.7,8.29,2,2,15,0,1,59.5
9,1,1.8,10.22,2,1,4,1,0,56.3
19,2,5.2,7.09,3,2,7,0,0,71.5
8,3,14.3,6.28,4,1,15,0,0,59.2
18,2,24.5,15.0,5,3,20,0,1,89.0
14,2,34.4,2.11,2,2,0,0,1,98.0
19,1,14.7,10.94,3,3,10,0,1,70.6
10,1,0.1,5.7,3,3,10,1,0,51.1
9,1,3.1,6.66,3,1,1,0,1,62.7
6,1,1.6,6.73,3,2,21,1,0,54.6
10,1,6.8,4.79,2,3,18,0,0,59.7
5,3,10.4,10.28,3,2,23,0,1,74.9
12,1,0.7,13.56,3,4,4,0,0,70.4
10,1,6.4,9.88,4,3,2,0,0,59.6
17,1,3.0,8.41,4,1,22,0,1,67.8
9,3,15.6,4.05,2,3,7,0,0,76.4
17,2,9.4,10.07,1,1,3,0,0,88.8
17,2,10.3,15.0,5,1,12,0,1,62.7
15,3,8.4,6.48,3,3,21,0,1,98.0
12,1,46.9,6.5,4,3,13,0,1,74.1
15,2,3.6,5.76,1,2,0,0,0,88.7
11,1,10.9,6.04,3,2,4,1,0,61.6
9,1,20.0,0.2,3,2,20,1,0,93.7
10,2,12.2,9.62,4,2,6,0,1,57.1
10,2,39.7,4.62,1,2,22,0,0,87.6
4,1,7.1,1.56,2,1,5,0,1,57.2
11,1,9.3,11.01,3,2,14,1,0,51.5
15,2,1.4,3.67,4,4,14,0,0,72.1
11,1,14.1,6.65,5,2,7,0,1,40.8
19,1,5.1,13.87,5,1,1,0,1,68.7
13,1,2.6,2.36,5,3,13,0,1,63.7
19,1,11.8,1.87,1,3,15,1,1,95.3
13,2,11.4,9.08,1,4,22,1,1,98.0
9,1,1.2,12.6,2,1,9,0,1,47.3
9,1,18.0,1.7,3,1,14,1,1,60.4
15,2,14.7,9.63,4,2,22,0,1,84.5
11,3,3.1,10.32,4,2,3,1,1,78.8
14,1,9.5,0.2,2,2,11,1,0,88.8
16,1,19.1,11.19,3,2,9,0,0,59.9
9,1,11.3,11.51,5,1,1,1,0,47.0
13,2,7.6,6.75,3,2,3,0,0,78.5
9,2,5.8,13.01,2,3,19,0,0,58.1
14,2,14.1,12.55,3,2,5,0,0,69.2
6,3,42.0,8.41,3,3,13,0,1,84.9
11,2,16.7,6.19,3,2,22,0,1,81.4
14,2,1.2,4.11,3,2,2,0,0,77.6
6,1,9.3,7.85,1,2,14,1,0,47.2
14,1,33.2,10.28,5,2,0,0,1,73.1
16,3,1.5,6.7,3,1,18,0,1,74.1
12,1,67.5,0.2,3,3,0,0,1,98.0
16,1,44.7,13.07,5,3,12,0,1,72.4
14,2,1.2,8.76,2,2,7,0,1,66.8
15,1,40.6,6.48,2,1,17,0,0,67.8
14,2,6.8,11.43,4,4,21,1,0,80.4
13,2,27.9,14.1,2,2,2,0,1,88.3
17,1,8.1,0.2,4,1,22,0,0,93.5
16,2,8.7,9.74,2,2,17,1,1,79.4
10,1,15.1,2.29,1,3,19,0,0,81.6
8,1,22.3,10.0,3,2,8,0,1,53.1
16,2,0.5,8.51,2,2,5,0,0,68.3
13,2,13.5,10.54,4,2,19,1,0,61.9
13,2,3.1,6.0,3,1,1,1,0,68.3
15,1,6.4,0.51,5,2,3,1,1,85.8
15,2,6.4,6.2,4,3,17,0,0,63.8
21,1,9.5,9.63,2,2,6,0,1,76.4
14,3,6.1,12.06,4,1,10,1,1,63.2
10,1,1.7,3.31,3,1,4,0,1,59.4
10,2,2.4,12.11,3,2,7,0,1,54.8
15,1,0.5,5.41,4,3,10,1,1,49.0
15,1,9.5,9.45,3,2,23,0,0,67.7
12,1,46.3,5.96,3,2,19,0,0,72.9
14,3,1.8,8.73,3,1,19,1,1,63.1
11,2,43.9,11.57,2,2,14,0,1,84.6
8,3,19.8,3.09,2,1,23,0,0,94.1
14,1,15.2,5.28,3,3,2,1,1,75.0
6,1,15.5,8.74,2,2,6,1,0,54.1
14,1,26.3,15.0,1,3,23,0,0,89.3
20,2,1.7,4.55,1,3,7,0,0,90.8
11,1,10.5,15.0,3,3,10,1,0,55.0
11,3,17.9,15.0,3,2,9,0,0,68.7
17,3,13.3,7.61,4,1,19,0,0,60.4
9,3,26.8,6.81,3,4,8,0,0,74.9
14,2,1.1,5.23,3,3,14,1,0,66.1
16,2,17.6,7.73,3,3,19,1,0,80.1
22,2,11.5,2.37,3,1,23,0,0,97.0
15,1,7.2,7.7,3,2,21,1,0,69.5
7,2,6.2,13.99,5,3,4,1,0,56.8
18,1,14.5,5.56,5,1,14,0,0,52.9
15,1,33.2,7.04,4,2,3,0,0,77.3
7,1,10.3,1.2,5,2,4,0,1,70.4
14,1,26.1,9.5,3,1,14,1,0,60.7
8,1,7.7,9.06,3,1,16,0,0,37.0
9,1,1.6,8.25,4,2,22,0,0,52.0
10,2,1.0,7.13,3,1,7,0,0,51.1
11,1,0.8,6.83,4,2,18,0,1,43.6
13,2,7.2,10.01,4,1,8,1,0,50.9
15,1,6.2,7.88,5,2,9,0,0,44.3
12,2,19.0,9.26,3,3,4,1,0,83.7
8,2,20.4,8.86,4,2,9,0,0,54.3
13,2,0.8,12.49,3,2,21,0,0,69.9
13,2,3.7,10.71,3,3,0,1,1,83.3
10,1,4.8,8.77,3,4,21,0,0,57.8
6,2,11.9,14.07,4,1,23,0,0,58.6
11,1,2.3,9.68,5,2,3,1,1,59.5
13,1,2.2,13.22,2,2,20,0,1,71.6
15,2,43.2,10.43,3,2,4,0,1,97.0
8,1,24.5,0.63,3,3,22,0,0,90.5
13,2,3.0,13.22,5,4,6,0,0,54.6
14,2,7.8,8.54,3,4,22,1,0,82.1
10,1,6.6,7.79,2,2,4,1,1,71.0
12,1,23.5,9.13,3,1,19,0,0,56.5
11,1,10.7,6.62,3,4,7,1,0,59.2
12,3,2.1,8.91,1,2,16,1,1,89.1
6,2,20.1,5.63,3,1,0,0,1,73.2
9,1,7.6,13.1,5,3,21,0,0,56.7
17,1,4.6,7.55,4,2,17,0,1,61.1
14,2,7.1,6.47,1,2,11,1,1,76.7
13,2,10.3,4.3,5,3,2,1,0,76.3
8,1,6.3,9.08,3,1,19,0,1,44.4
6,1,4.2,8.75,2,1,13,1,0,42.3
9,3,7.6,9.55,1,2,15,0,1,75.2
15,1,0.3,3.89,2,2,17,0,1,66.5
10,1,22.2,1.6,4,1,9,1,0,66.1
16,3,2.8,10.5,1,2,22,0,0,94.0
11,2,0.7,13.94,2,2,14,0,1,60.3
12,1,15.9,3.89,4,3,9,0,0,56.7
17,1,22.3,14.36,3,1,0,0,0,78.8
9,1,25.2,9.14,4,3,18,0,0,61.9
18,1,10.2,7.97,4,1,1,0,1,69.9
13,3,3.4,6.41,1,3,12,1,1,87.7
15,1,20.0,2.46,4,2,15,1,0,70.2
8,2,18.0,11.95,2,1,7,0,1,66.0
22,3,4.2,4.9,3,3,2,0,0,98.0
16,1,35.1,4.88,3,1,20,1,1,89.8
11,1,1.7,11.97,2,1,18,0,0,47.6
10,2,60.8,0.47,5,2,13,0,0,90.1
8,3,29.5,1.91,3,3,10,0,0,87.3
22,2,17.5,7.93,1,1,11,0,0,87.2
14,1,41.9,9.17,5,1,10,0,0,58.2
15,2,19.2,9.94,3,1,10,0,1,69.3
22,2,3.2,6.79,3,2,21,0,0,96.1
9,3,8.8,15.0,3,2,20,1,1,84.9
8,1,1.1,7.09,4,1,17,1,1,29.6
10,2,7.4,7.08,1,1,9,0,1,64.9
11,3,20.3,4.81,2,2,15,1,0,73.3
13,1,7.3,8.5,3,3,7,0,1,67.9
8,1,6.0,10.46,1,3,5,0,1,52.8
14,1,13.6,12.81,4,3,18,1,1,62.8
13,1,30.9,2.04,3,1,12,0,1,79.0
9,1,0.7,7.02,2,4,14,0,0,57.4
9,3,7.3,9.79,1,2,12,0,0,72.1
3,1,2.6,10.35,4,4,0,1,1,61.8
10,1,17.8,8.03,4,2,20,0,1,69.2
3,2,1.7,10.17,3,2,1,1,0,47.7
13,1,16.4,4.76,3,2,12,1,0,62.4
11,1,5.1,14.23,2,2,1,1,1,71.8
12,2,3.3,11.97,3,3,10,0,0,66.0
7,3,41.3,2.62,1,3,12,0,0,97.5
10,2,0.3,3.7,3,4,9,0,0,62.9
9,2,8.6,3.81,3,2,22,0,0,69.6
